id,consent,priority,phys,rus,math,indiv,total
23,False,1,61,64,60,8,192
360,True,2,82,78,85,10,256
118,False,1,61,74,70,4,212
353,True,1,58,59,54,2,172
244,False,2,76,62,79,0,217
19,False,2,75,67,62,4,207
267,True,1,69,62,71,8,210
194,False,1,81,66,86,0,235
210,False,2,96,97,87,1,282
90,False,1,63,80,69,8,219
227,False,4,71,76,79,3,229
17,False,1,66,65,62,3,195
273,False,1,86,98,96,2,282
336,False,1,78,72,70,3,221
1,False,3,60,67,58,8,194
375,False,2,59,59,62,6,188
240,False,1,65,73,68,5,211
9,False,1,81,95,97,5,278
37,False,1,64,75,59,4,204
216,False,3,74,63,71,7,215
376,False,2,83,86,88,7,265
184,False,3,64,64,63,0,190
39,False,1,59,70,65,3,195
133,True,2,78,80,72,7,237
195,False,2,91,98,83,3,275
257,False,2,80,89,84,0,254
323,False,2,88,94,80,9,270
250,False,2,64,59,63,9,194
309,False,2,99,90,88,10,286
321,False,2,76,83,83,2,246
167,False,1,62,54,75,7,198
49,False,1,68,69,71,3,209
344,False,1,80,78,80,1,240
20,False,1,65,62,65,8,202
236,False,2,77,79,92,6,255
340,False,2,85,83,72,8,250
99,False,1,70,78,75,9,235
108,False,1,95,96,84,6,282
248,False,2,70,76,80,7,233
12,False,2,65,66,65,0,196
35,False,2,75,72,70,5,222
251,False,2,77,73,75,8,233
207,False,3,87,84,80,3,253
249,False,2,60,75,63,1,198
100,False,2,66,66,73,2,207
268,False,2,67,51,61,8,187
161,False,1,82,83,85,5,255
368,False,2,55,42,45,7,149
41,True,1,71,80,83,2,237
165,False,2,74,82,75,2,233
202,False,4,68,70,65,0,202
27,False,2,76,74,69,3,222
43,False,1,69,74,69,2,214
208,False,3,70,76,71,4,221
253,False,2,83,74,67,7,232
283,False,1,72,84,78,0,234
186,False,4,70,65,70,1,206
252,True,2,73,62,69,7,212
42,False,1,61,51,56,3,171
6,False,1,60,64,66,6,196
209,False,2,73,79,75,4,232
13,False,2,89,89,84,9,272
212,False,1,84,81,80,10,256
349,False,1,55,59,53,8,176
325,False,2,80,85,79,6,250
16,False,1,74,79,77,5,236
356,False,1,73,64,74,7,216
262,False,2,83,79,79,10,251
128,False,2,66,69,71,8,213
36,False,1,58,66,62,10,196
26,False,1,47,57,60,7,169
276,False,1,64,77,76,9,226
48,False,2,71,74,77,1,224
98,False,2,73,78,72,5,228
354,False,2,73,65,66,0,205
105,False,1,98,98,99,5,301
245,False,3,66,64,59,10,198
8,True,3,73,89,82,1,248
364,False,1,77,86,88,0,251
374,False,1,79,79,71,3,233
345,False,2,77,74,70,3,224
239,True,1,63,72,68,3,205
25,False,2,86,79,78,4,247
334,False,1,83,85,90,0,258
22,False,2,73,76,79,3,231
308,False,2,77,76,85,5,244
327,False,1,62,62,63,2,190
5,False,2,72,83,80,8,243
307,False,1,75,67,74,9,225
21,False,2,79,76,78,1,234
206,False,2,78,90,78,5,249
304,True,1,62,67,62,3,194
358,False,1,72,72,62,2,209
104,False,1,67,72,81,7,228
32,False,1,82,72,78,0,232
96,False,1,71,68,79,8,226
234,False,1,72,62,70,7,213
223,False,1,90,89,85,0,263
335,False,1,65,56,62,3,186
261,False,1,65,69,75,1,209
47,False,1,53,51,55,1,159
219,True,1,74,78,62,7,220
229,True,1,44,50,48,8,151
97,False,2,76,76,81,5,240
24,False,2,72,83,74,2,230
92,False,1,64,70,85,9,229
305,False,2,78,83,78,4,243
221,False,3,63,75,79,5,221
218,False,2,71,88,79,10,247
91,False,1,82,86,87,4,260
266,False,1,87,88,78,8,259
278,False,2,68,75,85,3,234
255,False,3,72,76,81,3,230
314,False,1,69,70,72,5,216
205,False,1,63,65,60,0,188
87,False,1,69,64,73,7,213
363,False,2,59,76,74,2,211
243,False,2,86,72,82,1,241
204,False,1,90,84,90,4,267
102,False,1,78,77,85,2,242
367,False,2,41,43,60,7,150
246,False,1,64,63,65,8,201
238,False,2,71,68,70,6,216
147,False,2,79,91,81,8,260
88,False,1,68,83,72,6,230
351,False,2,75,73,70,1,219
332,False,1,63,80,84,0,228
346,False,2,63,63,58,4,187
183,False,3,66,71,66,4,207
199,False,2,86,87,95,7,275
326,False,2,68,73,78,6,223
200,False,3,69,70,69,0,208
547,False,1,66,79,78,9,231
279,True,1,64,74,67,9,213
269,False,2,88,87,91,3,270
341,False,2,87,80,86,1,255
214,True,3,75,87,93,1,254
181,False,3,93,87,100,2,282
315,False,2,72,71,68,9,220
46,False,2,76,89,71,0,237
18,False,2,68,72,68,6,213
264,False,3,76,72,77,8,233
256,False,1,82,92,83,6,262
377,True,1,58,75,70,0,204
235,False,1,68,68,68,5,210
319,False,1,64,68,72,5,209
328,False,2,81,71,76,2,229
468,False,1,83,81,92,4,260
103,False,1,65,77,72,7,221
217,False,2,62,66,77,9,215
312,False,1,60,70,69,0,200
316,False,2,63,64,59,10,197
464,False,2,74,74,71,0,219
362,True,1,61,66,74,3,203
357,False,1,72,83,73,3,232
242,False,3,81,79,77,3,238
75,False,2,60,67,61,5,193
40,False,2,80,92,86,4,262
333,False,1,65,69,75,3,214
366,False,2,68,71,84,7,231
89,False,1,68,65,71,3,207
30,False,2,63,68,52,0,182
62,False,2,66,72,77,10,226
198,False,3,69,61,64,10,204
192,False,2,72,64,77,8,221
213,False,3,77,85,80,0,241
14,False,1,83,75,74,1,234
151,False,1,61,55,60,8,184
106,False,1,76,77,82,0,235
224,False,1,74,82,65,5,227
263,False,2,70,74,85,6,233
231,False,2,80,91,85,1,257
94,False,1,50,63,62,9,183
475,False,2,78,78,80,4,239
265,False,1,85,81,89,6,261
365,False,2,79,70,67,10,226
284,False,1,75,72,76,8,232
191,False,4,75,83,85,9,252
247,False,1,80,87,73,0,240
329,False,1,58,78,69,8,212
3,False,2,78,81,74,4,238
310,False,2,71,67,68,6,212
107,False,2,56,54,54,7,170
271,False,1,88,77,79,7,251
258,False,2,88,80,77,7,254
196,False,2,64,75,73,6,219
237,False,2,72,84,77,9,243
226,True,4,44,52,57,8,159
293,True,1,56,69,65,6,195
348,False,1,57,63,67,5,190
189,False,2,87,76,84,1,250
241,False,1,85,94,91,9,279
472,False,3,66,66,72,4,207
274,False,2,82,84,83,0,251
230,False,3,62,65,64,0,191
313,False,2,64,62,51,6,184
228,False,2,84,78,85,9,257
29,False,2,77,63,81,7,228
369,False,1,69,85,84,8,248
187,False,4,65,75,61,0,201
211,False,1,79,91,86,3,260
225,False,1,90,88,87,5,272
370,False,1,74,83,72,6,237
122,False,1,72,75,79,0,228
320,False,2,90,90,96,9,285
355,True,2,67,71,68,10,217
540,False,1,49,55,55,7,166
306,False,2,84,93,79,10,267
339,False,1,89,83,84,5,261
125,False,1,60,66,67,7,200
270,False,1,72,79,76,2,231
379,False,1,76,73,79,6,233
277,True,1,70,82,66,8,225
303,False,1,70,65,75,5,215
7,False,1,60,77,64,1,200
232,False,2,73,77,70,8,229
197,False,2,60,61,61,6,187
350,False,2,76,86,72,4,239
220,False,2,100,100,100,8,308
185,False,4,94,100,92,7,292
317,False,1,69,82,81,4,237
372,False,2,77,86,87,6,255
371,False,2,86,97,100,2,287
34,False,2,62,76,67,7,211
337,True,1,93,96,94,3,286
359,False,2,80,81,81,4,246
342,True,1,75,72,88,10,245
259,False,1,78,92,87,9,266
134,False,1,74,78,70,2,224
338,False,2,65,78,77,9,228
343,False,2,57,61,69,1,189
347,False,1,71,71,79,5,226
373,False,2,72,83,78,3,236
536,False,2,71,63,83,0,217
254,False,1,80,71,77,4,232
67,False,2,73,78,78,2,230
2,False,1,65,74,72,9,221
352,False,2,64,75,65,1,204
38,True,1,79,75,73,4,231
514,False,2,81,89,89,9,270
488,False,2,79,88,85,8,260
330,False,2,65,70,72,10,215
193,False,3,79,75,76,3,233
461,False,1,91,86,81,5,263
15,False,1,53,54,52,8,165
378,False,1,82,82,86,5,256
463,False,1,97,89,97,6,289
318,False,2,44,51,46,7,147
520,False,3,72,76,76,10,233
361,True,2,80,82,88,8,258
282,False,3,62,72,72,1,207
311,False,2,60,65,60,0,187
481,False,1,73,58,64,0,194
33,False,1,70,80,76,7,233
324,False,1,87,89,88,6,270
331,False,1,61,66,68,9,203
182,True,1,96,100,100,3,300
611,False,2,68,63,60,7,198
612,False,1,84,78,90,9,261
613,False,3,75,78,79,7,238
614,False,3,69,77,82,6,234
615,False,3,96,100,100,2,299
616,True,1,85,87,80,7,261
617,False,1,80,79,81,1,240
618,False,3,78,78,82,0,239
619,True,1,49,59,48,0,158
620,False,3,82,81,92,1,256
621,False,2,73,63,79,8,223
622,False,2,84,77,73,9,243
623,False,3,80,76,73,6,236
624,False,1,91,89,80,0,262
625,False,1,100,98,97,8,303
626,False,1,93,86,81,9,271
627,False,1,80,94,97,1,273
628,False,3,68,75,70,6,221
629,False,3,79,83,80,7,249
630,False,2,83,81,87,9,261
631,True,3,64,69,59,8,199
632,False,2,86,99,100,1,285
633,False,1,66,64,68,2,198
634,True,1,61,58,64,10,193
635,False,2,87,100,95,6,288
636,False,1,95,98,90,3,287
637,False,3,70,77,69,8,224
638,False,4,69,81,66,9,225
639,False,2,99,100,100,6,304
640,False,4,75,78,71,0,224
641,False,3,51,60,63,2,175
642,False,2,71,65,73,9,219
643,False,3,94,86,93,0,273
644,False,2,85,92,81,1,259
645,False,3,78,79,75,6,239
646,False,2,86,87,90,9,273
647,True,3,75,90,76,8,249
648,False,3,68,73,76,2,220
649,False,2,60,65,56,0,181
650,False,3,73,82,88,8,249
651,False,2,59,58,63,3,182
